date	source	claim	judgement	summary	url
2016-07-27	Democratic Party of Wisconsin	"Says U.S. Sen. Ron Johnson ""opposes faster broadband internet in small towns"" and ""got nearly $90,000 in campaign contributions from the telecom special interests."""	Half-True	Dialing up some problems	http://politifact.com/wisconsin/statements/2016/jul/27/state-democratic-party-wisconsin/wisconsin-democrats-claim-ron-johnson-opposes-fast/
2016-07-27	Bill Clinton	"""As secretary of state, (Hillary Clinton) worked hard to get strong sanctions against Iran's nuclear program"" and ""got Russia and China to support them."""	Mostly True	She was a key player	http://politifact.com/truth-o-meter/statements/2016/jul/27/bill-clinton/bill-clinton-praises-hillarys-half-court-shot-iran/
2016-07-27	Bill Clinton	"""The approval of the United States was 20 points higher when (Hillary Clinton) left the secretary of state's office than when she took it."""	Half-True	It rose, but not by that much	http://politifact.com/truth-o-meter/statements/2016/jul/27/bill-clinton/bill-clinton-exaggerates-increase-world-opinion-us/
2016-07-27	Hillary Clinton	"Says when an interviewer asked Donald Trump if he treats women with respect, Trump replied, ""I can't say that."""	Mostly False	Clip ignores key context	http://politifact.com/truth-o-meter/statements/2016/jul/27/hillary-clinton/hillary-clinton-video-says-donald-trump-admitted-h/
2016-07-27	Joseph  Crowley	"Says Donald Trump ""cashed in"" on Sept. 11,  ""collecting $150,000 in federal funds intended to help small businesses recover — even though days after the attack Trump said his properties were not affected."""	Half-True	Trump's building was eligible for the $$	http://politifact.com/truth-o-meter/statements/2016/jul/27/joseph-crowley/did-donald-trump-cash-federal-funds-days-after-911/
2016-07-26	Bill Clinton	"Says Hillary Clinton helped ""get done"" the Children's Health Insurance Program."	Mostly True	Ted Kennedy got much of credit	http://politifact.com/florida/statements/2016/jul/26/bill-clinton/bill-clinton-says-hillary-clinton-helped-get-done-/
2016-07-26	Barbara  Boxer	"Says Donald Trump ""said a woman should be punished for exercising her right to choose."""	Half-True	A selective reading of Trump's comments	http://politifact.com/truth-o-meter/statements/2016/jul/26/barbara-boxer/dnc-barbara-boxer-says-trump-said-women-should-be-/
2016-07-26	Amy Klobuchar	"""Human trafficking is the third-biggest criminal enterprise in the world."""	Mostly True	Shaky data, but the ranking is sound	http://politifact.com/truth-o-meter/statements/2016/jul/26/amy-klobuchar/yes-human-trafficking-ranks-3-world-crime/
2016-07-26	Kevin de León	"California has ""the sixth largest economy on planet Earth."""	Mostly True	Adjusted for cost of living, California's economy not as rosy	http://politifact.com/california/statements/2016/jul/26/kevin-de-leon/does-california-really-have-sixth-largest-economy-/
2016-07-26	Bernie Sanders	"""The top 1 percent in recent years has earned 85 percent of all new income."""	Half-True	Not exactly on the money	http://politifact.com/truth-o-meter/statements/2016/jul/26/bernie-s/bernie-sanders-outdated-income-inequality-statisti/
2016-07-26	Corey  Stewart	"Hillary Clinton and Ralph Northam ""label police as racists."""	Mostly False	Exaggerated for Clinton; baseless for Northam	http://politifact.com/virginia/statements/2016/jul/26/corey-stewart/corey-stewart-wrongly-says-hillary-clinton-ralph-n/
2016-07-26	Luis Gutierrez	"""There are fewer people crossing (the southwest) border than in the last 30 years."""	Mostly True	By border apprehensions, this is (nearly) correct	http://politifact.com/truth-o-meter/statements/2016/jul/26/luis-gutierrez/rep-gutierrez-says-fewer-people-crossing-border-la/
2016-07-26	Elizabeth Warren	"""Donald Trump said he was excited for the 2008 housing crash that devastated millions of American families, because he thought it would help him scoop up more real estate on the cheap."""	Half-True	Comments were made pre-crash	http://politifact.com/truth-o-meter/statements/2016/jul/26/elizabeth-warren/elizabeth-warren-says-donald-trump-was-excited-200/
2016-07-26	Republican National Committee	"Speakers at the Democratic National Convention made ""zero mentions of the global terrorist threat posed by ISIS."""	True	"Lots of words, none of them ""ISIS"""	http://politifact.com/truth-o-meter/statements/2016/jul/26/republican-national-committee-republican/rnc-right-no-democratic-speaker-mentioned-isis-con/
2016-07-26	Bernie Sanders	"""The top one-tenth of 1 percent now owns almost as much wealth as the bottom 90 percent."""	Mostly True	A classic Sanders factoid	http://politifact.com/truth-o-meter/statements/2016/jul/26/bernie-s/dnc-bernie-sanders-repeats-claim-top-one-tenth-1-o/
2016-07-26	Bernie Sanders	"Says Donald Trump ""believes that states should actually have the right to lower the minimum wage below $7.25."""	Mostly True	Seems to give states the all clear	http://politifact.com/truth-o-meter/statements/2016/jul/26/bernie-s/sanders-trump-would-allow-states-lower-minimum-wag/
2016-07-25	Michelle Obama	"""I wake up every morning in a house (the White House) that was built by slaves."""	True	Not exclusively by slaves, but they had a big role	http://politifact.com/truth-o-meter/statements/2016/jul/25/michelle-obama/michelle-obama-correct-white-house-was-built-slave/
2016-07-25	Funny Or Die	Says Trump shirts are made in Bangladesh, Trump suits in Mexico, Trump Vodka in the Netherlands, Trump crystal barware in Slovenia and his cufflinks and ties in China.	Mostly True	"We check the ""made in"" labels"	http://politifact.com/punditfact/statements/2016/jul/25/funny-or-die/fact-checking-funny-or-die-video-about-trump-brand/
2016-07-25	Kirsten Gillibrand	"""We are the only industrialized nation that doesn't guarantee workers paid family leave."""	Mostly True	No national law for paid leave	http://politifact.com/truth-o-meter/statements/2016/jul/25/kirsten-gillibrand/yes-us-only-industrialized-nation-without-paid-fam/
2016-07-25	Tim Kaine	"Says ""Donald Trump is a guy who has called for privatization"" of the Veterans Administration."	Mostly False	Vets groups divided	http://politifact.com/truth-o-meter/statements/2016/jul/25/tim-kaine/does-donald-trump-want-privatize-va/
